Time,Computation Time,Objective Values,Pressure Values,Travel Time w Buffer,Travel Time wo Buffer,Throughput,Vehicle Speed,Waiting Vehicles Per Intersection,Waiting Vehicles Per Lane,Waiting Vehicles Per Lane Max,Waiting Time Per Vehicle,Waiting Time Per Vehicle Max,Number of Stops,Number of Vehicles Entered the Network,Phase Change Frequency
0,0.000926971435546875,0.0,0.0,367.14081690945443,224.91748942172075,0.0,12.700095238095239,0.0,0.0,0.0,123.74660956459671,1.0,123.74660956459671,2836.0,49.0
20,0.00045371055603027344,5.833333333333333,5.833333333333333,,,0.0,10.451735377337545,2.3333333333333335,0.15053763440860216,1.5555555555555556,123.74660956459671,,,,
40,0.0004458427429199219,8.0,8.0,,,0.0,8.436488113261024,7.166666666666667,0.46236559139784944,4.777777777777778,123.74660956459671,,,,
60,0.0004851818084716797,13.0,13.0,,,0.24999999999999997,8.129363696929708,10.5,0.6774193548387096,6.888888888888889,123.74660956459671,,,,
80,0.0005609989166259766,12.722222222222221,12.722222222222221,,,0.375,6.940133552600676,15.833333333333334,1.021505376344086,10.222222222222221,123.74660956459671,,,,
100,0.00041294097900390625,15.611111111111109,15.611111111111109,,,0.5083333333333334,6.643403880177166,19.5,1.2580645161290323,12.777777777777779,123.74660956459671,,,,
120,0.0004222393035888672,18.055555555555554,18.055555555555554,,,0.5833333333333334,5.825943261703708,23.833333333333332,1.5376344086021505,12.222222222222221,123.74660956459671,,,,
140,0.0004200935363769531,15.444444444444448,15.444444444444448,,,0.6333333333333334,5.208001272874511,24.666666666666668,1.5913978494623655,12.666666666666666,123.74660956459671,,,,
160,0.00043702125549316406,16.222222222222225,16.222222222222225,,,0.6416666666666667,5.203137390239423,25.833333333333332,1.6666666666666667,15.777777777777779,123.74660956459671,,,,
180,0.00045418739318847656,21.833333333333332,21.833333333333332,,,0.5916666666666667,5.200080171350595,29.833333333333332,1.924731182795699,15.666666666666666,123.74660956459671,,,,
200,0.00042700767517089844,18.222222222222225,18.222222222222225,,,0.5833333333333334,4.646651133935272,31.333333333333332,2.021505376344086,17.0,123.74660956459671,,,,
220,0.0004127025604248047,20.0,20.0,,,0.6916666666666668,4.904178231650981,30.833333333333332,1.989247311827957,17.444444444444443,123.74660956459671,,,,
240,0.0004520416259765625,19.722222222222225,19.722222222222225,,,0.6416666666666667,4.640431893403861,34.0,2.193548387096774,17.88888888888889,123.74660956459671,,,,
